epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.51,3.18819,13.1794,1.47957,0.04828,0.55556,0.0376,0.0133,2.43556,38.0072,1.15713,0.0004,0.0004,0.0004
2,1364.42,2.5827,4.48073,1.19427,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.000811882,0.000811882,0.000811882
3,2052.69,2.60305,2.68769,1.13818,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.00121545,0.00121545,0.00121545
4,2623.55,2.6268,2.3685,1.16208,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.0016107,0.0016107,0.0016107
5,3128.41,2.50306,2.22393,1.10459,0.04828,0.55556,0.0376,0.0133,0,inf,0,0.0019208,0.0019208,0.0019208
6,3509.08,2.67987,2.32529,1.18462,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.001901,0.001901,0.001901
7,3923.96,2.45126,1.98724,1.12826,0.04828,0.55556,0.0376,0.0133,3.22055,inf,1.36607,0.0018812,0.0018812,0.0018812
8,4337.9,2.37241,1.71211,1.05336,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,4728.73,2.3752,1.76666,1.10595,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,5135.02,2.22374,1.67049,1.03906,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,5574.09,2.2969,1.58862,1.06264,0.04828,0.55556,0.0376,0.0133,nan,nan,nan,0.001802,0.001802,0.001802
12,5974.18,2.30202,1.6375,1.07299,0.4144,0.59259,0.35031,0.08622,3.14331,152.622,1.20442,0.0017822,0.0017822,0.0017822
13,6413.83,2.29252,1.56826,1.04417,0.78944,0.69459,0.76936,0.3255,2.11888,44.0493,1.02853,0.0017624,0.0017624,0.0017624
14,6788.31,2.27618,1.54305,1.0647,0.85397,0.81481,0.86294,0.4027,2.05905,2.98372,1.02228,0.0017426,0.0017426,0.0017426
15,7204.26,2.13422,1.46899,1.02398,0.70098,0.69484,0.68394,0.29091,1.9574,1.65062,0.97726,0.0017228,0.0017228,0.0017228
16,7687.78,2.22453,1.54983,1.02723,0.81038,0.51852,0.65374,0.30056,1.90189,5.15914,0.99673,0.001703,0.001703,0.001703
17,8146.96,2.29771,1.59384,1.09239,0.91634,0.40579,0.45156,0.22552,2.11361,21.9234,0.96825,0.0016832,0.0016832,0.0016832
